comment,sentiment,Unnamed: 2,tokens
ye chahy aap meri zid samjhen ya nalaiqi magar mujhy aony faisly per koi pashemani nahen hai,positive,,"['ye', 'chahy', 'aap', 'meri', 'zid', 'samjhen', 'ya', 'nalaiqi', 'magar', 'mujhy', 'aony', 'faisly', 'per', 'koi', 'pashemani', 'nahen', 'hai']"
jannat film ke hawaly se ek sawal ke jawab mein sonal chauhan ne kaha ke is film ke director kunal deshmukh se mumbai ke ek restaurant mein mulaqat hui jahan unho ne mujh se phone number liya aurchand roz baad film jannat ki offer ker di,positive,,"['jannat', 'film', 'ke', 'hawaly', 'se', 'ek', 'sawal', 'ke', 'jawab', 'mein', 'sonal', 'chauhan', 'ne', 'kaha', 'ke', 'is', 'film', 'ke', 'director', 'kunal', 'deshmukh', 'se', 'mumbai', 'ke', 'ek', 'restaurant', 'mein', 'mulaqat', 'hui', 'jahan', 'unho', 'ne', 'mujh', 'se', 'phone', 'number', 'liya', 'aurchand', 'roz', 'baad', 'film', 'jannat', 'ki', 'offer', 'ker', 'di']"
jannat mein meri performance ko dekhty huey telgo flm rainbow mili is ke alawa ek kanda film bhi ke,positive,,"['jannat', 'mein', 'meri', 'performance', 'ko', 'dekhty', 'huey', 'telgo', 'flm', 'rainbow', 'mili', 'is', 'ke', 'alawa', 'ek', 'kanda', 'film', 'bhi', 'ke']"
unh ne kaha ke gulokari ka bhi shauq hai aur 2013 mein release hony wali film 3g mein main kia bataun gaya jisy saraha gya is liey modeling aur acting ke saath gulookari ko bhi jari rakhty huey album per kam ker rahi hun,positive,,"['unh', 'ne', 'kaha', 'ke', 'gulokari', 'ka', 'bhi', 'shauq', 'hai', 'aur', '2013', 'mein', 'release', 'hony', 'wali', 'film', '3g', 'mein', 'main', 'kia', 'bataun', 'gaya', 'jisy', 'saraha', 'gya', 'is', 'liey', 'modeling', 'aur', 'acting', 'ke', 'saath', 'gulookari', 'ko', 'bhi', 'jari', 'rakhty', 'huey', 'album', 'per', 'kam', 'ker', 'rahi', 'hun']"
mustaqbil ke hawaly se unho ne kaha ke akshy aur sunjay dutt jaisy superstars ke saath asmaan ker rahi hun jis mein mera kirdar kafi powerful hai,positive,,"['mustaqbil', 'ke', 'hawaly', 'se', 'unho', 'ne', 'kaha', 'ke', 'akshy', 'aur', 'sunjay', 'dutt', 'jaisy', 'superstars', 'ke', 'saath', 'asmaan', 'ker', 'rahi', 'hun', 'jis', 'mein', 'mera', 'kirdar', 'kafi', 'powerful', 'hai']"
mahesh bhatt production ke sath mazeed flmen kerny ki khwahish hai kiun ke mahesh bhatt ko apny fankaron se kam lena ata hai,positive,,"['mahesh', 'bhatt', 'production', 'ke', 'sath', 'mazeed', 'flmen', 'kerny', 'ki', 'khwahish', 'hai', 'kiun', 'ke', 'mahesh', 'bhatt', 'ko', 'apny', 'fankaron', 'se', 'kam', 'lena', 'ata', 'hai']"
is liey wo jab bhi bulayengy to main pehli fursat mein un ka hi project kerna chahungi,positive,,"['is', 'liey', 'wo', 'jab', 'bhi', 'bulayengy', 'to', 'main', 'pehli', 'fursat', 'mein', 'un', 'ka', 'hi', 'project', 'kerna', 'chahungi']"
hindustani art cinemas ke qad aawar artists ki top of the list murattab ki jae to farooq sheikh ka naam yaqeeni taur par is mien shamil ho ga,positive,,"['hindustani', 'art', 'cinemas', 'ke', 'qad', 'aawar', 'artists', 'ki', 'top', 'of', 'the', 'list', 'murattab', 'ki', 'jae', 'to', 'farooq', 'sheikh', 'ka', 'naam', 'yaqeeni', 'taur', 'par', 'is', 'mien', 'shamil', 'ho', 'ga']"
faooq ne us zamane mien mutawazi cinema mien naam peyda kiya,positive,,"['faooq', 'ne', 'us', 'zamane', 'mien', 'mutawazi', 'cinema', 'mien', 'naam', 'peyda', 'kiya']"
yun to is actor ne riwayati commercial films mien bhi salahiyaton ke johar dikhae magar in ki shanakht art films he rahi,positive,,"['yun', 'to', 'is', 'actor', 'ne', 'riwayati', 'commercial', 'films', 'mien', 'bhi', 'salahiyaton', 'ke', 'johar', 'dikhae', 'magar', 'in', 'ki', 'shanakht', 'art', 'films', 'he', 'rahi']"
farooq ki acting mien aik tarah ka thehrao numayan tha,positive,,"['farooq', 'ki', 'acting', 'mien', 'aik', 'tarah', 'ka', 'thehrao', 'numayan', 'tha']"
jo unhe art film ke liye mauzoo banata tha,positive,,"['jo', 'unhe', 'art', 'film', 'ke', 'liye', 'mauzoo', 'banata', 'tha']"
phir aik taweel waqfey ke bad 2008 mien inho ne films se dobara nata jorha,positive,,"['phir', 'aik', 'taweel', 'waqfey', 'ke', 'bad', '2008', 'mien', 'inho', 'ne', 'films', 'se', 'dobara', 'nata', 'jorha']"
jis ka aiteraf yeh khud bhi karte the,positive,,"['jis', 'ka', 'aiteraf', 'yeh', 'khud', 'bhi', 'karte', 'the']"
log mujhe pehchantehain meri janib dekh kar muskurate hain aur hath bhi hilate hain,positive,,"['log', 'mujhe', 'pehchantehain', 'meri', 'janib', 'dekh', 'kar', 'muskurate', 'hain', 'aur', 'hath', 'bhi', 'hilate', 'hain']"
aesi pazeerai na milne ka qalq mujhe kabhi nahi raha,positive,,"['aesi', 'pazeerai', 'na', 'milne', 'ka', 'qalq', 'mujhe', 'kabhi', 'nahi', 'raha']"
art films mien acting ke aaghaz par farooq sheikh ko satya jeet rai muzaffar ali rishikesh mukherjee aur ketan mehta jaise kohna mushq directors ke saath kaam karne ka mauqa mila,positive,,"['art', 'films', 'mien', 'acting', 'ke', 'aaghaz', 'par', 'farooq', 'sheikh', 'ko', 'satya', 'jeet', 'rai', 'muzaffar', 'ali', 'rishikesh', 'mukherjee', 'aur', 'ketan', 'mehta', 'jaise', 'kohna', 'mushq', 'directors', 'ke', 'saath', 'kaam', 'karne', 'ka', 'mauqa', 'mila']"
in directors ne in ke talent ko nikharne mien aeham role adaa kiya,positive,,"['in', 'directors', 'ne', 'in', 'ke', 'talent', 'ko', 'nikharne', 'mien', 'aeham', 'role', 'adaa', 'kiya']"
magar inho ne khud ko stage aur silver screen he tak mehdood nahi rakha bal ke television par bhi apni salahiyaton ka jadoo jagaya,positive,,"['magar', 'inho', 'ne', 'khud', 'ko', 'stage', 'aur', 'silver', 'screen', 'he', 'tak', 'mehdood', 'nahi', 'rakha', 'bal', 'ke', 'television', 'par', 'bhi', 'apni', 'salahiyaton', 'ka', 'jadoo', 'jagaya']"
khate peete khandan se talluq hone ki bina par inhe tamam saholtein hasil rahi,positive,,"['khate', 'peete', 'khandan', 'se', 'talluq', 'hone', 'ki', 'bina', 'par', 'inhe', 'tamam', 'saholtein', 'hasil', 'rahi']"
in ke walid aik kamiyab wakeel the,positive,,"['in', 'ke', 'walid', 'aik', 'kamiyab', 'wakeel', 'the']"
is arsey ke dauran inhe sagar sarhadi jaise maroof directors mien banae jane wale dramas mien mukhtalif kirdaron ki adaeygi ka mauqa mila,positive,,"['is', 'arsey', 'ke', 'dauran', 'inhe', 'sagar', 'sarhadi', 'jaise', 'maroof', 'directors', 'mien', 'banae', 'jane', 'wale', 'dramas', 'mien', 'mukhtalif', 'kirdaron', 'ki', 'adaeygi', 'ka', 'mauqa', 'mila']"
jald he in ka shumar stage ke basalahiyat naujawan artists mien hone laga tha,positive,,"['jald', 'he', 'in', 'ka', 'shumar', 'stage', 'ke', 'basalahiyat', 'naujawan', 'artists', 'mien', 'hone', 'laga', 'tha']"
director ms sathewan in ke paas pohanche aur inhe garam hawa mien aik aeham moaawin kirdar adaa karne ki pesh kash ki,positive,,"['director', 'ms', 'sathewan', 'in', 'ke', 'paas', 'pohanche', 'aur', 'inhe', 'garam', 'hawa', 'mien', 'aik', 'aeham', 'moaawin', 'kirdar', 'adaa', 'karne', 'ki', 'pesh', 'kash', 'ki']"
bataur director sathewan ki bhi yeh awwaleen film thi,positive,,"['bataur', 'director', 'sathewan', 'ki', 'bhi', 'yeh', 'awwaleen', 'film', 'thi']"
garam hawa hindi art cinema mien nae tarz ki films ka aaghaz samjhi jati hai,positive,,"['garam', 'hawa', 'hindi', 'art', 'cinema', 'mien', 'nae', 'tarz', 'ki', 'films', 'ka', 'aaghaz', 'samjhi', 'jati', 'hai']"
pehli film mien sikander mirza ka role ada karne par inhe 750 rupees muaawza mila tha,positive,,"['pehli', 'film', 'mien', 'sikander', 'mirza', 'ka', 'role', 'ada', 'karne', 'par', 'inhe', '750', 'rupees', 'muaawza', 'mila', 'tha']"
farooq sheikh ki wajah shohrat agarcha art films hain,positive,,"['farooq', 'sheikh', 'ki', 'wajah', 'shohrat', 'agarcha', 'art', 'films', 'hain']"
magar dilchasp baat yeh hai ke inhe ibtedai shanakht radio se mili thi,positive,,"['magar', 'dilchasp', 'baat', 'yeh', 'hai', 'ke', 'inhe', 'ibtedai', 'shanakht', 'radio', 'se', 'mili', 'thi']"
phir jab door darshan par yoda darshan aur young world jaise programs ki meyzbani farooq ke hisse mien aai to in ka naam ghar ghar liya jane laga,positive,,"['phir', 'jab', 'door', 'darshan', 'par', 'yoda', 'darshan', 'aur', 'young', 'world', 'jaise', 'programs', 'ki', 'meyzbani', 'farooq', 'ke', 'hisse', 'mien', 'aai', 'to', 'in', 'ka', 'naam', 'ghar', 'ghar', 'liya', 'jane', 'laga']"
guman mien khobsurat acting ne farooq sheikh ka career mustehkam kiya aur inhe markazi roles ki peshkash hone lagi,positive,,"['guman', 'mien', 'khobsurat', 'acting', 'ne', 'farooq', 'sheikh', 'ka', 'career', 'mustehkam', 'kiya', 'aur', 'inhe', 'markazi', 'roles', 'ki', 'peshkash', 'hone', 'lagi']"
inho ne satya jeet rai ki shatranj ke khiladi 1977 ke ilawa noori 1979 chashm e baddor 1981 umrao jaan 1981 bazaar 1982 sath sath 1982 rang barangi 1983 kisi se na kehna 1983 aur biwi ho to aesi 1988 mien yadgaar kirdar adaa kiye,positive,,"['inho', 'ne', 'satya', 'jeet', 'rai', 'ki', 'shatranj', 'ke', 'khiladi', '1977', 'ke', 'ilawa', 'noori', '1979', 'chashm', 'e', 'baddor', '1981', 'umrao', 'jaan', '1981', 'bazaar', '1982', 'sath', 'sath', '1982', 'rang', 'barangi', '1983', 'kisi', 'se', 'na', 'kehna', '1983', 'aur', 'biwi', 'ho', 'to', 'aesi', '1988', 'mien', 'yadgaar', 'kirdar', 'adaa', 'kiye']"
katha 1983 mien inho ne manfi kirdar mien bhi apni salahiyaton ke johar dikhae,positive,,"['katha', '1983', 'mien', 'inho', 'ne', 'manfi', 'kirdar', 'mien', 'bhi', 'apni', 'salahiyaton', 'ke', 'johar', 'dikhae']"
apne career mien inho ne art films ki kam o besh tamam maroof heroins ke sath kaam kiya,positive,,"['apne', 'career', 'mien', 'inho', 'ne', 'art', 'films', 'ki', 'kam', 'o', 'besh', 'tamam', 'maroof', 'heroins', 'ke', 'sath', 'kaam', 'kiya']"
director sagar sarhadi ki film lorri kalpana lajmi ki aik pal aur muzaffar ali ki anjuman mien shabana aazmi in ki heroin bani thi,positive,,"['director', 'sagar', 'sarhadi', 'ki', 'film', 'lorri', 'kalpana', 'lajmi', 'ki', 'aik', 'pal', 'aur', 'muzaffar', 'ali', 'ki', 'anjuman', 'mien', 'shabana', 'aazmi', 'in', 'ki', 'heroin', 'bani', 'thi']"
magar deepti navil ke sath in ki jorhi boat maqbool hui,positive,,"['magar', 'deepti', 'navil', 'ke', 'sath', 'in', 'ki', 'jorhi', 'boat', 'maqbool', 'hui']"
amaya mien in ki jorhi ki performance se mehfooz hue,positive,,"['amaya', 'mien', 'in', 'ki', 'jorhi', 'ki', 'performance', 'se', 'mehfooz', 'hue']"
farooq sheikh ne shabana aazmi ke sath bhi kae films ki,positive,,"['farooq', 'sheikh', 'ne', 'shabana', 'aazmi', 'ke', 'sath', 'bhi', 'kae', 'films', 'ki']"
television ke nazreen mien wo actor ke sath sath bataur meyzban bhi boat maqbool the,positive,,"['television', 'ke', 'nazreen', 'mien', 'wo', 'actor', 'ke', 'sath', 'sath', 'bataur', 'meyzban', 'bhi', 'boat', 'maqbool', 'the']"
in ka show jeena isi ka naam hai dekhne walo mien boat maqbool hua tha,positive,,"['in', 'ka', 'show', 'jeena', 'isi', 'ka', 'naam', 'hai', 'dekhne', 'walo', 'mien', 'boat', 'maqbool', 'hua', 'tha']"
us dauran stage se in ka nata nahi toota tha,positive,,"['us', 'dauran', 'stage', 'se', 'in', 'ka', 'nata', 'nahi', 'toota', 'tha']"
yeh drama 12 saal tak pesh kiya jata raha tha,positive,,"['yeh', 'drama', '12', 'saal', 'tak', 'pesh', 'kiya', 'jata', 'raha', 'tha']"
2009 mien inho ne film lahore mien shandar acting ka muzahira kiya,positive,,"['2009', 'mien', 'inho', 'ne', 'film', 'lahore', 'mien', 'shandar', 'acting', 'ka', 'muzahira', 'kiya']"
jis ke aiteraf mien inhe behtareen muaawin actor ke national film award se nawaza gaya,positive,,"['jis', 'ke', 'aiteraf', 'mien', 'inhe', 'behtareen', 'muaawin', 'actor', 'ke', 'national', 'film', 'award', 'se', 'nawaza', 'gaya']"
box office par yeh film kamiyab qarar di ja chuki hai,positive,,"['box', 'office', 'par', 'yeh', 'film', 'kamiyab', 'qarar', 'di', 'ja', 'chuki', 'hai']"
magar yeh actor apne maddahon ke dilon mien aur apni films mien hamesha zinda rahega,positive,,"['magar', 'yeh', 'actor', 'apne', 'maddahon', 'ke', 'dilon', 'mien', 'aur', 'apni', 'films', 'mien', 'hamesha', 'zinda', 'rahega']"
hollywood ki films ke rasiya afraad mein bhala kaun ho ga ke jo captain jack sparrow ka shehar aafaq kirdar nibhane wale zaheen o fateen actor johnny depp ke naam aur kaam se waqif na hon,positive,,"['hollywood', 'ki', 'films', 'ke', 'rasiya', 'afraad', 'mein', 'bhala', 'kaun', 'ho', 'ga', 'ke', 'jo', 'captain', 'jack', 'sparrow', 'ka', 'shehar', 'aafaq', 'kirdar', 'nibhane', 'wale', 'zaheen', 'o', 'fateen', 'actor', 'johnny', 'depp', 'ke', 'naam', 'aur', 'kaam', 'se', 'waqif', 'na', 'hon']"
yun to croron dilon ki dharkan kehlane wale is actor ne bohat si kamiyab films mein apni salahiyaon ke johar dikhae hain lekin tijarti paimaney par in ki sab se kamiyab film series pirates of the caribbean rahi hai,positive,,"['yun', 'to', 'croron', 'dilon', 'ki', 'dharkan', 'kehlane', 'wale', 'is', 'actor', 'ne', 'bohat', 'si', 'kamiyab', 'films', 'mein', 'apni', 'salahiyaon', 'ke', 'johar', 'dikhae', 'hain', 'lekin', 'tijarti', 'paimaney', 'par', 'in', 'ki', 'sab', 'se', 'kamiyab', 'film', 'series', 'pirates', 'of', 'the', 'caribbean', 'rahi', 'hai']"
magar phir india ke maroof siyasatdaan amar singh ne jaya ko apni saraparasti mein le liya aur ab wo amar singh ke zair e saya siyasat mein apna muqaam banane ki jaddojehad mein hain,positive,,"['magar', 'phir', 'india', 'ke', 'maroof', 'siyasatdaan', 'amar', 'singh', 'ne', 'jaya', 'ko', 'apni', 'saraparasti', 'mein', 'le', 'liya', 'aur', 'ab', 'wo', 'amar', 'singh', 'ke', 'zair', 'e', 'saya', 'siyasat', 'mein', 'apna', 'muqaam', 'banane', 'ki', 'jaddojehad', 'mein', 'hain']"
in dino jaya prada azaad candidate ki hesiyat se lok sabha ki rukun hain aur siyasat ke maidan mein tahaal sargaram hain,positive,,"['in', 'dino', 'jaya', 'prada', 'azaad', 'candidate', 'ki', 'hesiyat', 'se', 'lok', 'sabha', 'ki', 'rukun', 'hain', 'aur', 'siyasat', 'ke', 'maidan', 'mein', 'tahaal', 'sargaram', 'hain']"
bal ke agar yeh kaha jae ke sylvester stallone ka naam he action films ki kamiyabi ki zamanat hai to ghalat na ho ga,positive,,"['bal', 'ke', 'agar', 'yeh', 'kaha', 'jae', 'ke', 'sylvester', 'stallone', 'ka', 'naam', 'he', 'action', 'films', 'ki', 'kamiyabi', 'ki', 'zamanat', 'hai', 'to', 'ghalat', 'na', 'ho', 'ga']"
isi film ko bad mein italian stallion ke naam se release kiya gaya jis ne bohat maqboliyat hasil ki,positive,,"['isi', 'film', 'ko', 'bad', 'mein', 'italian', 'stallion', 'ke', 'naam', 'se', 'release', 'kiya', 'gaya', 'jis', 'ne', 'bohat', 'maqboliyat', 'hasil', 'ki']"
isi film se stallone ke filmy career ka sahi maeyno mein aaghaz hua,positive,,"['isi', 'film', 'se', 'stallone', 'ke', 'filmy', 'career', 'ka', 'sahi', 'maeyno', 'mein', 'aaghaz', 'hua']"
wo is se itne mutassir hue ke forum aik film rocky ki kahani likh daali,positive,,"['wo', 'is', 'se', 'itne', 'mutassir', 'hue', 'ke', 'forum', 'aik', 'film', 'rocky', 'ki', 'kahani', 'likh', 'daali']"
yeh kahani inho ne sirf 20 ghanton mein mukammal kit hi,positive,,"['yeh', 'kahani', 'inho', 'ne', 'sirf', '20', 'ghanton', 'mein', 'mukammal', 'kit', 'hi']"
tahum koshishon ke bad producer john g avid son ne is film ke liye sarmayakari par aamadgi zahir kar di aur director robert karloff ne is ki direction dene ki haami bhar li,positive,,"['tahum', 'koshishon', 'ke', 'bad', 'producer', 'john', 'g', 'avid', 'son', 'ne', 'is', 'film', 'ke', 'liye', 'sarmayakari', 'par', 'aamadgi', 'zahir', 'kar', 'di', 'aur', 'director', 'robert', 'karloff', 'ne', 'is', 'ki', 'direction', 'dene', 'ki', 'haami', 'bhar', 'li']"
yeh is baras ki behtareen film qarar paai aur is baras ke academy awards mein in ki 10 nominations hui,positive,,"['yeh', 'is', 'baras', 'ki', 'behtareen', 'film', 'qarar', 'paai', 'aur', 'is', 'baras', 'ke', 'academy', 'awards', 'mein', 'in', 'ki', '10', 'nominations', 'hui']"
yeh film bhi kamiyab rahi aur yun sylvester stallone hollywood ke super star ban age,positive,,"['yeh', 'film', 'bhi', 'kamiyab', 'rahi', 'aur', 'yun', 'sylvester', 'stallone', 'hollywood', 'ke', 'super', 'star', 'ban', 'age']"
yeh film bhi maqboliyat ke kae record qaiym kar gai aur sylvester stallone hollywood ke sab se maqbool action hero ban gae,positive,,"['yeh', 'film', 'bhi', 'maqboliyat', 'ke', 'kae', 'record', 'qaiym', 'kar', 'gai', 'aur', 'sylvester', 'stallone', 'hollywood', 'ke', 'sab', 'se', 'maqbool', 'action', 'hero', 'ban', 'gae']"
in dono films ki maqboliyat ka andaza is baat se bhi lagaya ja sakta hai ke in dono ke sequels ke tehat kae films banai gai hain,positive,,"['in', 'dono', 'films', 'ki', 'maqboliyat', 'ka', 'andaza', 'is', 'baat', 'se', 'bhi', 'lagaya', 'ja', 'sakta', 'hai', 'ke', 'in', 'dono', 'ke', 'sequels', 'ke', 'tehat', 'kae', 'films', 'banai', 'gai', 'hain']"
agarcha in ki kuch films ko nakami ka bhi saamna karna parha hai lekin is se sylvester stallone ke career par negative asar nahi parha,positive,,"['agarcha', 'in', 'ki', 'kuch', 'films', 'ko', 'nakami', 'ka', 'bhi', 'saamna', 'karna', 'parha', 'hai', 'lekin', 'is', 'se', 'sylvester', 'stallone', 'ke', 'career', 'par', 'negative', 'asar', 'nahi', 'parha']"
khas taur par wo tobacco ki masnoaat ki tasheer mein bohat sargaram rahe hain,positive,,"['khas', 'taur', 'par', 'wo', 'tobacco', 'ki', 'masnoaat', 'ki', 'tasheer', 'mein', 'bohat', 'sargaram', 'rahe', 'hain']"
college university mein jab koi taqreb munaqid ki jati to tilawat e quran e pak aur naat inayat hussain bhatti ke hisse mien aati doran etaleeem college mein aik taqreb munaqid hoi jis ke mehman e khososi baba ji a chishti the jo us waqat mosiqi ke betaj badshah the,positive,,"['college', 'university', 'mein', 'jab', 'koi', 'taqreb', 'munaqid', 'ki', 'jati', 'to', 'tilawat', 'e', 'quran', 'e', 'pak', 'aur', 'naat', 'inayat', 'hussain', 'bhatti', 'ke', 'hisse', 'mien', 'aati', 'doran', 'etaleeem', 'college', 'mein', 'aik', 'taqreb', 'munaqid', 'hoi', 'jis', 'ke', 'mehman', 'e', 'khososi', 'baba', 'ji', 'a', 'chishti', 'the', 'jo', 'us', 'waqat', 'mosiqi', 'ke', 'betaj', 'badshah', 'the']"
taqreb mein inayat hussain bhatti ne naat parhi baba ji a chishti ne phechan leya ke ye nojawan apne awaz ke sehar se soz o gudaz ke lashkar se insani qlab o izhan ko musakhar kar sakta hai aur unhon ne inayat hussain bhatti ko apni film “phere” mein gana gane ke leye kaha,positive,,"['taqreb', 'mein', 'inayat', 'hussain', 'bhatti', 'ne', 'naat', 'parhi', 'baba', 'ji', 'a', 'chishti', 'ne', 'phechan', 'leya', 'ke', 'ye', 'nojawan', 'apne', 'awaz', 'ke', 'sehar', 'se', 'soz', 'o', 'gudaz', 'ke', 'lashkar', 'se', 'insani', 'qlab', 'o', 'izhan', 'ko', 'musakhar', 'kar', 'sakta', 'hai', 'aur', 'unhon', 'ne', 'inayat', 'hussain', 'bhatti', 'ko', 'apni', 'film', '“', 'phere', '”', 'mein', 'gana', 'gane', 'ke', 'leye', 'kaha']"
“phere” mein uhnon ne kai gane gaye lekin munawar sultana ke sath un ke do gane “akhiyan lawain na” ko khas tor par shurat mili jis ke baad inayat hussain bhatti ke liye filmon ke darwaze khul gaye,positive,,"['“', 'phere', '”', 'mein', 'uhnon', 'ne', 'kai', 'gane', 'gaye', 'lekin', 'munawar', 'sultana', 'ke', 'sath', 'un', 'ke', 'do', 'gane', '“', 'akhiyan', 'lawain', 'na', '”', 'ko', 'khas', 'tor', 'par', 'shurat', 'mili', 'jis', 'ke', 'baad', 'inayat', 'hussain', 'bhatti', 'ke', 'liye', 'filmon', 'ke', 'darwaze', 'khul', 'gaye']"
radio ka dor tha inayat hussain bhatti ki awaz pore punjab mein pheel gai aur ataraf o aknaf punjab mein inayat hussain bhatti ki fani zindagi ka aghaz tha,positive,,"['radio', 'ka', 'dor', 'tha', 'inayat', 'hussain', 'bhatti', 'ki', 'awaz', 'pore', 'punjab', 'mein', 'pheel', 'gai', 'aur', 'ataraf', 'o', 'aknaf', 'punjab', 'mein', 'inayat', 'hussain', 'bhatti', 'ki', 'fani', 'zindagi', 'ka', 'aghaz', 'tha']"
do dehaion tak theater film aur golokari ke medan chaye rahe,positive,,"['do', 'dehaion', 'tak', 'theater', 'film', 'aur', 'golokari', 'ke', 'medan', 'chaye', 'rahe']"
is arse mein unhon ne pakistan film industry ke tamam naamwar mosikaron ke sath kaam kiya,positive,,"['is', 'arse', 'mein', 'unhon', 'ne', 'pakistan', 'film', 'industry', 'ke', 'tamam', 'naamwar', 'mosikaron', 'ke', 'sath', 'kaam', 'kiya']"
billa akhir 1955 mein inayat hussain bhatti ko film “heer” mein hero ke tor par kaam karne ka muqa mila aur golokari ke sath sath un ki adakari ko bhi khasa saraha gaya,positive,,"['billa', 'akhir', '1955', 'mein', 'inayat', 'hussain', 'bhatti', 'ko', 'film', '“', 'heer', '”', 'mein', 'hero', 'ke', 'tor', 'par', 'kaam', 'karne', 'ka', 'muqa', 'mila', 'aur', 'golokari', 'ke', 'sath', 'sath', 'un', 'ki', 'adakari', 'ko', 'bhi', 'khasa', 'saraha', 'gaya']"
rafeeq peer theater ke leye un ke gaye howae naghme aaj bhi mashor hain,positive,,"['rafeeq', 'peer', 'theater', 'ke', 'leye', 'un', 'ke', 'gaye', 'howae', 'naghme', 'aaj', 'bhi', 'mashor', 'hain']"
un ki wafat se kuch arsa qalb shazia manzoor ne un ka gana “chan mere makhna” dob arah gaya jo behad maqbol sabit howa,positive,,"['un', 'ki', 'wafat', 'se', 'kuch', 'arsa', 'qalb', 'shazia', 'manzoor', 'ne', 'un', 'ka', 'gana', '“', 'chan', 'mere', 'makhna', '”', 'dob', 'arah', 'gaya', 'jo', 'behad', 'maqbol', 'sabit', 'howa']"
inayat hussain bhatti ki samaji khidmat bhi hain,positive,,"['inayat', 'hussain', 'bhatti', 'ki', 'samaji', 'khidmat', 'bhi', 'hain']"
1971 mein unhon ne gulab devi hospital mein apni waldah barkat bibi ke naam se aik ward tamer karaya aur meo hospital lahore mein cp air conditioner plant mukamal faraham kiya,positive,,"['1971', 'mein', 'unhon', 'ne', 'gulab', 'devi', 'hospital', 'mein', 'apni', 'waldah', 'barkat', 'bibi', 'ke', 'naam', 'se', 'aik', 'ward', 'tamer', 'karaya', 'aur', 'meo', 'hospital', 'lahore', 'mein', 'cp', 'air', 'conditioner', 'plant', 'mukamal', 'faraham', 'kiya']"
inayat hussain bhatti kai ghareb bachon ko taleemi wazifa dete the,positive,,"['inayat', 'hussain', 'bhatti', 'kai', 'ghareb', 'bachon', 'ko', 'taleemi', 'wazifa', 'dete', 'the']"
1965 ki jung mein 250 rupe pass rakh kar baqi sarmaya pakistan army defense mein jama karwa deya to bewi ne ppocha ke jung taweel ho gai to kia bane ga inayat hussain bhatti ne kaha ke agar mera watan hi na raha to kia bane ga,positive,,"['1965', 'ki', 'jung', 'mein', '250', 'rupe', 'pass', 'rakh', 'kar', 'baqi', 'sarmaya', 'pakistan', 'army', 'defense', 'mein', 'jama', 'karwa', 'deya', 'to', 'bewi', 'ne', 'ppocha', 'ke', 'jung', 'taweel', 'ho', 'gai', 'to', 'kia', 'bane', 'ga', 'inayat', 'hussain', 'bhatti', 'ne', 'kaha', 'ke', 'agar', 'mera', 'watan', 'hi', 'na', 'raha', 'to', 'kia', 'bane', 'ga']"
“allah ki rehmat ka saya toheed ka pacham lehraya ae mard e mujahid jag zara ab waqat e shahadat hai aaya allah ho akbar” inayat hussain bhatti ne ye nagma ga kar foji nojawanon ko garmaya aur un ke sene josh se bhar deye,positive,,"['“', 'allah', 'ki', 'rehmat', 'ka', 'saya', 'toheed', 'ka', 'pacham', 'lehraya', 'ae', 'mard', 'e', 'mujahid', 'jag', 'zara', 'ab', 'waqat', 'e', 'shahadat', 'hai', 'aaya', 'allah', 'ho', 'akbar', '”', 'inayat', 'hussain', 'bhatti', 'ne', 'ye', 'nagma', 'ga', 'kar', 'foji', 'nojawanon', 'ko', 'garmaya', 'aur', 'un', 'ke', 'sene', 'josh', 'se', 'bhar', 'deye']"
tarana is qadar maqbol howa ke pak foj ke band mein shamil kar leya gaya,positive,,"['tarana', 'is', 'qadar', 'maqbol', 'howa', 'ke', 'pak', 'foj', 'ke', 'band', 'mein', 'shamil', 'kar', 'leya', 'gaya']"
aaj bhi is tarane ke bool samaton se takrate hain to ye dilon ko garama kar hub ul watni paida kar dete hain,positive,,"['aaj', 'bhi', 'is', 'tarane', 'ke', 'bool', 'samaton', 'se', 'takrate', 'hain', 'to', 'ye', 'dilon', 'ko', 'garama', 'kar', 'hub', 'ul', 'watni', 'paida', 'kar', 'dete', 'hain']"
miyan sahib ne kaha ke mein kaseer raqam se aik masjid tamer karne ka khuwahish mand hun,positive,,"['miyan', 'sahib', 'ne', 'kaha', 'ke', 'mein', 'kaseer', 'raqam', 'se', 'aik', 'masjid', 'tamer', 'karne', 'ka', 'khuwahish', 'mand', 'hun']"
