comment,sentiment,tokens
میں انڈیا سے تعلق رکھتا ہوں اور کرکٹ بہت پہلے سے دیکھنا پسند کرتا ہوں سلیم ملک کی کلکتہ کی اننگ میں آنکھوں سے دیکھا ہوں اس نے ایسی اننگ کھیلی تھی جیسے پوری ہماری انڈیا کی ٹیم بچوں کے جیسی لگ رہی تھی,positive,"['میں', 'انڈیا', 'سے', 'تعلق', 'رکھتا', 'ہوں', 'اور', 'کرکٹ', 'بہت', 'پہلے', 'سے', 'دیکھنا', 'پسند', 'کرتا', 'ہوں', 'سلیم', 'ملک', 'کی', 'کلکتہ', 'کی', 'اننگ', 'میں', 'آنکھوں', 'سے', 'دیکھا', 'ہوں', 'اس', 'نے', 'ایسی', 'اننگ', 'کھیلی', 'تھی', 'جیسے', 'پوری', 'ہماری', 'انڈیا', 'کی', 'ٹیم', 'بچوں', 'کے', 'جیسی', 'لگ', 'رہی', 'تھی']"
سلیم نے صحیح کہا,positive,"['سلیم', 'نے', 'صحیح', 'کہا']"
آج یحییٰ بے بس نظر آۓ ایک حقیقت پسند اور سچے شخص کے سامنے,positive,"['آج', 'یحییٰ', 'بے', 'بس', 'نظر', 'آۓ', 'ایک', 'حقیقت', 'پسند', 'اور', 'سچے', 'شخص', 'کے', 'سامنے']"
یخی بھائی بسٹ پروگرام کرتے ہیں سلوٹ ٹو یو شر میں مے یہ پروگرام اب دیکھا حالانکہ یہ بہت پرانا ہو گیا میرا جیو ٹی وی کو دیکھنے کا دل نیہں کرتا,positive,"['یخی', 'بھائی', 'بسٹ', 'پروگرام', 'کرتے', 'ہیں', 'سلوٹ', 'ٹو', 'یو', 'شر', 'میں', 'مے', 'یہ', 'پروگرام', 'اب', 'دیکھا', 'حالانکہ', 'یہ', 'بہت', 'پرانا', 'ہو', 'گیا', 'میرا', 'جیو', 'ٹی', 'وی', 'کو', 'دیکھنے', 'کا', 'دل', 'نیہں', 'کرتا']"
سلیم بھائی اچھے کھلاڑی تھے ان کے ساتھ زیادتی ہوئی,positive,"['سلیم', 'بھائی', 'اچھے', 'کھلاڑی', 'تھے', 'ان', 'کے', 'ساتھ', 'زیادتی', 'ہوئی']"
باقی کرکٹرز کو احسان مند ہونا چاہیے سلیم ملک کا کہ سب کچھ خود پر ڈلوا لیا اور اس وقت نہیں بولے کچھ بولے لیکن دو سال پہلے لیکن پھر بھی سال گزر چکے تھے,positive,"['باقی', 'کرکٹرز', 'کو', 'احسان', 'مند', 'ہونا', 'چاہیے', 'سلیم', 'ملک', 'کا', 'کہ', 'سب', 'کچھ', 'خود', 'پر', 'ڈلوا', 'لیا', 'اور', 'اس', 'وقت', 'نہیں', 'بولے', 'کچھ', 'بولے', 'لیکن', 'دو', 'سال', 'پہلے', 'لیکن', 'پھر', 'بھی', 'سال', 'گزر', 'چکے', 'تھے']"
سلیم بھائی نے اچھی بات کی ہے,positive,"['سلیم', 'بھائی', 'نے', 'اچھی', 'بات', 'کی', 'ہے']"
عمران خان کا ٹیم پر اسقدر رعب اور دبدبہ تھا کہ سب کھلاڑی اس کے سامنے ایسی حرکات نہیں کر سکتے تھے,positive,"['عمران', 'خان', 'کا', 'ٹیم', 'پر', 'اسقدر', 'رعب', 'اور', 'دبدبہ', 'تھا', 'کہ', 'سب', 'کھلاڑی', 'اس', 'کے', 'سامنے', 'ایسی', 'حرکات', 'نہیں', 'کر', 'سکتے', 'تھے']"
سلیم ملک اور وسیم اکرم ایک لمبا عرصہ اکٹھا کھیلے اور ھم نے دیکھا کہ ان کے درمیان بہت اچھی دوستی تھی دونوں پاکستان کیلئے میچ ونر تھے ان دنوں پاکستان کی بیٹنگ سلیم ملک اور جاوید میانداد کے گرد گھومتی تھی اور بولنگ میں عمران خان وسیم اکرم اور عبدالقادر ٹیم کا مستقل حصہ تھے,positive,"['سلیم', 'ملک', 'اور', 'وسیم', 'اکرم', 'ایک', 'لمبا', 'عرصہ', 'اکٹھا', 'کھیلے', 'اور', 'ھم', 'نے', 'دیکھا', 'کہ', 'ان', 'کے', 'درمیان', 'بہت', 'اچھی', 'دوستی', 'تھی', 'دونوں', 'پاکستان', 'کیلئے', 'میچ', 'ونر', 'تھے', 'ان', 'دنوں', 'پاکستان', 'کی', 'بیٹنگ', 'سلیم', 'ملک', 'اور', 'جاوید', 'میانداد', 'کے', 'گرد', 'گھومتی', 'تھی', 'اور', 'بولنگ', 'میں', 'عمران', 'خان', 'وسیم', 'اکرم', 'اور', 'عبدالقادر', 'ٹیم', 'کا', 'مستقل', 'حصہ', 'تھے']"
سلیم ملک راشد لطیف سے ملاقات کرکے غلط فہمیاں دور کریں دونوں ہی عظیمکرکٹر رہے ہیںشعیب اختر نے بالکل صحیح تجزیہ کیا ہے,positive,"['سلیم', 'ملک', 'راشد', 'لطیف', 'سے', 'ملاقات', 'کرکے', 'غلط', 'فہمیاں', 'دور', 'کریں', 'دونوں', 'ہی', 'عظیمکرکٹر', 'رہے', 'ہیںشعیب', 'اختر', 'نے', 'بالکل', 'صحیح', 'تجزیہ', 'کیا', 'ہے']"
سلیم ملک پاکستان کے لیجنڈ کرکٹر رہے ہیں ان کے ساتھ انصاف کے تقاضے پورے نہیں کیے گئے مگر راشدلطیف دل کے بالکل صاف انسان ہیں اوردنیائے کرکٹ کے کچھ ہی بہترین وکٹ کیپرز میں سے ایک ہیں بہتریہ ہی ہے,positive,"['سلیم', 'ملک', 'پاکستان', 'کے', 'لیجنڈ', 'کرکٹر', 'رہے', 'ہیں', 'ان', 'کے', 'ساتھ', 'انصاف', 'کے', 'تقاضے', 'پورے', 'نہیں', 'کیے', 'گئے', 'مگر', 'راشدلطیف', 'دل', 'کے', 'بالکل', 'صاف', 'انسان', 'ہیں', 'اوردنیائے', 'کرکٹ', 'کے', 'کچھ', 'ہی', 'بہترین', 'وکٹ', 'کیپرز', 'میں', 'سے', 'ایک', 'ہیں', 'بہتریہ', 'ہی', 'ہے']"
یہ سچ ھے کہ راشد لطیف بہت کٹر سپورٹر ھے الطاف جانور کا لیکن یہ اسکا اپنا عمل ھے اس کا حساب اللہ کو دے گا لیکن راشد لطیف نے ابھی تک کوئ جرمنہیں کیا بلکہ پاکستان کے لئے کھیلا اور کبھی کرپشن نہیں کی,positive,"['یہ', 'سچ', 'ھے', 'کہ', 'راشد', 'لطیف', 'بہت', 'کٹر', 'سپورٹر', 'ھے', 'الطاف', 'جانور', 'کا', 'لیکن', 'یہ', 'اسکا', 'اپنا', 'عمل', 'ھے', 'اس', 'کا', 'حساب', 'اللہ', 'کو', 'دے', 'گا', 'لیکن', 'راشد', 'لطیف', 'نے', 'ابھی', 'تک', 'کوئ', 'جرمنہیں', 'کیا', 'بلکہ', 'پاکستان', 'کے', 'لئے', 'کھیلا', 'اور', 'کبھی', 'کرپشن', 'نہیں', 'کی']"
سلیم ملک صاحب بہت اچھے کرکٹر اور بہت اچھے انسان ہیں اللہ تعالٰی ان کو سلامت رکھے آمین,positive,"['سلیم', 'ملک', 'صاحب', 'بہت', 'اچھے', 'کرکٹر', 'اور', 'بہت', 'اچھے', 'انسان', 'ہیں', 'اللہ', 'تعالٰی', 'ان', 'کو', 'سلامت', 'رکھے', 'آمین']"
پرانے مردے مت اکھاڑیں سلیم ملک تو نوجوان تھا اور نیا بھی,positive,"['پرانے', 'مردے', 'مت', 'اکھاڑیں', 'سلیم', 'ملک', 'تو', 'نوجوان', 'تھا', 'اور', 'نیا', 'بھی']"
اللہ پاک رضوان کو اپنے دین کے لٸے قبول کرے دنیا میں بھی عزت دے آخرت میں دونوں جہاں کی کامیابی عطاکرے,positive,"['اللہ', 'پاک', 'رضوان', 'کو', 'اپنے', 'دین', 'کے', 'لٸے', 'قبول', 'کرے', 'دنیا', 'میں', 'بھی', 'عزت', 'دے', 'آخرت', 'میں', 'دونوں', 'جہاں', 'کی', 'کامیابی', 'عطاکرے']"
ہم پاکستانیوں کو ایمان دار سچے اور بہادر عمران خان سے محبت ھے,positive,"['ہم', 'پاکستانیوں', 'کو', 'ایمان', 'دار', 'سچے', 'اور', 'بہادر', 'عمران', 'خان', 'سے', 'محبت', 'ھے']"
محمد رضوان صاحب بہت خوب بھائی,positive,"['محمد', 'رضوان', 'صاحب', 'بہت', 'خوب', 'بھائی']"
بہت اچھا کیا ہے محسن کے ساتھ,positive,"['بہت', 'اچھا', 'کیا', 'ہے', 'محسن', 'کے', 'ساتھ']"
یہ بد تمیزی نہیں یہ ایک چور اور غداروں کے ٹاوٹ کو آئینہ دیکھایا ویلدن رضوان,positive,"['یہ', 'بد', 'تمیزی', 'نہیں', 'یہ', 'ایک', 'چور', 'اور', 'غداروں', 'کے', 'ٹاوٹ', 'کو', 'آئینہ', 'دیکھایا', 'ویلدن', 'رضوان']"
رضوان بھائی اپ نے یہ ثابت کیا ہے کہ ایمان کی طاقت دنیا کی ہر طاقت سے بڑی ہے الحمدللہ اللہ پاک اپ کو مزید ترقیاں اور بلندیاں عطا فرمائے امین ثم امین,positive,"['رضوان', 'بھائی', 'اپ', 'نے', 'یہ', 'ثابت', 'کیا', 'ہے', 'کہ', 'ایمان', 'کی', 'طاقت', 'دنیا', 'کی', 'ہر', 'طاقت', 'سے', 'بڑی', 'ہے', 'الحمدللہ', 'اللہ', 'پاک', 'اپ', 'کو', 'مزید', 'ترقیاں', 'اور', 'بلندیاں', 'عطا', 'فرمائے', 'امین', 'ثم', 'امین']"
دلیر لیڈر غازی عمران خان زندہ باد,positive,"['دلیر', 'لیڈر', 'غازی', 'عمران', 'خان', 'زندہ', 'باد']"
عوام کی طرف سلام اور ذبردست خراج تحسین ہے رضوان بھائی اس جرات پر یہ ہوتے ہیں مجاہد جو امربالمعروف کے ساتھ نہی عن المنکر کرتے ہیں,positive,"['عوام', 'کی', 'طرف', 'سلام', 'اور', 'ذبردست', 'خراج', 'تحسین', 'ہے', 'رضوان', 'بھائی', 'اس', 'جرات', 'پر', 'یہ', 'ہوتے', 'ہیں', 'مجاہد', 'جو', 'امربالمعروف', 'کے', 'ساتھ', 'نہی', 'عن', 'المنکر', 'کرتے', 'ہیں']"
محمد رضوان اللہ اپکو مزید عزت دے,positive,"['محمد', 'رضوان', 'اللہ', 'اپکو', 'مزید', 'عزت', 'دے']"
رضوان بھائی اللہ آپ کو اپنی خفاظت میں رکھے آمین سلام ہو آپ کو,positive,"['رضوان', 'بھائی', 'اللہ', 'آپ', 'کو', 'اپنی', 'خفاظت', 'میں', 'رکھے', 'آمین', 'سلام', 'ہو', 'آپ', 'کو']"
گریٹ رضوان ذبردست خراج تحسین,positive,"['گریٹ', 'رضوان', 'ذبردست', 'خراج', 'تحسین']"
تم لوگوں کو شرم انا چاہیے کیونکہ اب بھی تم لوگ عزرائیل کا پروڈکٹ استعمال کرتے ہو,positive,"['تم', 'لوگوں', 'کو', 'شرم', 'انا', 'چاہیے', 'کیونکہ', 'اب', 'بھی', 'تم', 'لوگ', 'عزرائیل', 'کا', 'پروڈکٹ', 'استعمال', 'کرتے', 'ہو']"
شاہین شاہ افریدی اس کنگ وکٹ,positive,"['شاہین', 'شاہ', 'افریدی', 'اس', 'کنگ', 'وکٹ']"
اس فرینڈ شپ کو کسی کی نظر نہ لگے امین,positive,"['اس', 'فرینڈ', 'شپ', 'کو', 'کسی', 'کی', 'نظر', 'نہ', 'لگے', 'امین']"
موجودہ ٹیم کی سب سے اچھی بات یہ ہے کہ کپتان مغرور نہیں اور محنتی ہے اور سب سے محنت سے کام کرواتا ہے حلال کھانے کھا کے بڑے ہوئے ہیں یہ,positive,"['موجودہ', 'ٹیم', 'کی', 'سب', 'سے', 'اچھی', 'بات', 'یہ', 'ہے', 'کہ', 'کپتان', 'مغرور', 'نہیں', 'اور', 'محنتی', 'ہے', 'اور', 'سب', 'سے', 'محنت', 'سے', 'کام', 'کرواتا', 'ہے', 'حلال', 'کھانے', 'کھا', 'کے', 'بڑے', 'ہوئے', 'ہیں', 'یہ']"
بہترین انسانلاجواب کھلاڑیکپیل پا جی خوش رہو آباد رہو,positive,"['بہترین', 'انسانلاجواب', 'کھلاڑیکپیل', 'پا', 'جی', 'خوش', 'رہو', 'آباد', 'رہو']"
جو خدا اور رسول صلی اللہ علیہ وآلہ وسلم کو منظور ہوتا ہے وہی ہوتا ہے,positive,"['جو', 'خدا', 'اور', 'رسول', 'صلی', 'اللہ', 'علیہ', 'وآلہ', 'وسلم', 'کو', 'منظور', 'ہوتا', 'ہے', 'وہی', 'ہوتا', 'ہے']"
یار یہ تو اچھا ہے لیکن پاکستان کے ٹیم بیٹنگ میں پیل ہیں اگر پاکستان نے اچھا بیٹسمین لیا ہوتا تو یہ ورلڈ کپ پاکستان کا تھا بس پاکستان کے ٹیم ہمشہ دعاؤں سے ہے,positive,"['یار', 'یہ', 'تو', 'اچھا', 'ہے', 'لیکن', 'پاکستان', 'کے', 'ٹیم', 'بیٹنگ', 'میں', 'پیل', 'ہیں', 'اگر', 'پاکستان', 'نے', 'اچھا', 'بیٹسمین', 'لیا', 'ہوتا', 'تو', 'یہ', 'ورلڈ', 'کپ', 'پاکستان', 'کا', 'تھا', 'بس', 'پاکستان', 'کے', 'ٹیم', 'ہمشہ', 'دعاؤں', 'سے', 'ہے']"
کچھ بھی کر لو کپ آسٹریلیا یا پاکستان کا ھے,positive,"['کچھ', 'بھی', 'کر', 'لو', 'کپ', 'آسٹریلیا', 'یا', 'پاکستان', 'کا', 'ھے']"
بلکل الله پاک ہر چیز پر قادر ہے ہر عروج کو زوال آتی ہے اور ہر زوال کو عورج,positive,"['بلکل', 'الله', 'پاک', 'ہر', 'چیز', 'پر', 'قادر', 'ہے', 'ہر', 'عروج', 'کو', 'زوال', 'آتی', 'ہے', 'اور', 'ہر', 'زوال', 'کو', 'عورج']"
بالکل انشاللہ کل بارش ہی ھوگی میچ نہیں ھوگا,positive,"['بالکل', 'انشاللہ', 'کل', 'بارش', 'ہی', 'ھوگی', 'میچ', 'نہیں', 'ھوگا']"
جو مر ضی کر لو نتیجہ اللہ کے پاس ہے,positive,"['جو', 'مر', 'ضی', 'کر', 'لو', 'نتیجہ', 'اللہ', 'کے', 'پاس', 'ہے']"
ساری کا ینات کا مالک اکیلا اللہ ہے,positive,"['ساری', 'کا', 'ینات', 'کا', 'مالک', 'اکیلا', 'اللہ', 'ہے']"
کوئی بارش نہیں میچ ہوگا انشاء اللہ,positive,"['کوئی', 'بارش', 'نہیں', 'میچ', 'ہوگا', 'انشاء', 'اللہ']"
سارا نظام میرے الله کا ہے اپ کیا جانوں قدرت کے کے نظام کو جسے چاہے عزت دیں بولوں اپبے بگوان کو کے بدل کے دیکھائے میرے الله کے نظام کو الله پاکستان عزت کامرانی عطا فرما اور بت پرستش کو دیکھا اپنا نظام آلحی سب کا مالک ایک ہے صرف صرف الله,positive,"['سارا', 'نظام', 'میرے', 'الله', 'کا', 'ہے', 'اپ', 'کیا', 'جانوں', 'قدرت', 'کے', 'کے', 'نظام', 'کو', 'جسے', 'چاہے', 'عزت', 'دیں', 'بولوں', 'اپبے', 'بگوان', 'کو', 'کے', 'بدل', 'کے', 'دیکھائے', 'میرے', 'الله', 'کے', 'نظام', 'کو', 'الله', 'پاکستان', 'عزت', 'کامرانی', 'عطا', 'فرما', 'اور', 'بت', 'پرستش', 'کو', 'دیکھا', 'اپنا', 'نظام', 'آلحی', 'سب', 'کا', 'مالک', 'ایک', 'ہے', 'صرف', 'صرف', 'الله']"
اللہ کے اور قدرت کے نظام پر ایہ ہندو بھائ بھی یقین کرنے لگے انشاءاللہ پاکستان انگلینڈ کے خلاف جیتگا,positive,"['اللہ', 'کے', 'اور', 'قدرت', 'کے', 'نظام', 'پر', 'ایہ', 'ہندو', 'بھائ', 'بھی', 'یقین', 'کرنے', 'لگے', 'انشاءاللہ', 'پاکستان', 'انگلینڈ', 'کے', 'خلاف', 'جیتگا']"
بیشک سب کچھ اللہ کے حکم سے ہوتا ہے,positive,"['بیشک', 'سب', 'کچھ', 'اللہ', 'کے', 'حکم', 'سے', 'ہوتا', 'ہے']"
قدرت کا نظام ثقلین مشتاق صحیح بولے تھے کیونکہ اللہ کو معلوم ہےکہ کب کیا کرنا ہے,positive,"['قدرت', 'کا', 'نظام', 'ثقلین', 'مشتاق', 'صحیح', 'بولے', 'تھے', 'کیونکہ', 'اللہ', 'کو', 'معلوم', 'ہےکہ', 'کب', 'کیا', 'کرنا', 'ہے']"
انڈیا اگر ورلڈکپ جیت جائے تو ہمیں خوشی ہو گی جو اچھا کھیلے اس کی تعریف کرنی چاہیے اسپورٹس میں سپرٹ دکھانی چاہیے,positive,"['انڈیا', 'اگر', 'ورلڈکپ', 'جیت', 'جائے', 'تو', 'ہمیں', 'خوشی', 'ہو', 'گی', 'جو', 'اچھا', 'کھیلے', 'اس', 'کی', 'تعریف', 'کرنی', 'چاہیے', 'اسپورٹس', 'میں', 'سپرٹ', 'دکھانی', 'چاہیے']"
افریدی سعید اجمل اور محمد حفیظ کا کیا کامبینیشن تھا,positive,"['افریدی', 'سعید', 'اجمل', 'اور', 'محمد', 'حفیظ', 'کا', 'کیا', 'کامبینیشن', 'تھا']"
عمر گل کی شاندار بیٹنگ کی وجہ سے میچ جیت گیا تھا,positive,"['عمر', 'گل', 'کی', 'شاندار', 'بیٹنگ', 'کی', 'وجہ', 'سے', 'میچ', 'جیت', 'گیا', 'تھا']"
یہ میچ میری ذندگی کا کبھی نہیں بھولوں گا اسے میں جسے پیار کرتا ہوں اس نے اور میں نے سب گھر والوں نے میچ دیکھا اور خوب کھایا پیا آج وہ وقت یاد آتا ہے,positive,"['یہ', 'میچ', 'میری', 'ذندگی', 'کا', 'کبھی', 'نہیں', 'بھولوں', 'گا', 'اسے', 'میں', 'جسے', 'پیار', 'کرتا', 'ہوں', 'اس', 'نے', 'اور', 'میں', 'نے', 'سب', 'گھر', 'والوں', 'نے', 'میچ', 'دیکھا', 'اور', 'خوب', 'کھایا', 'پیا', 'آج', 'وہ', 'وقت', 'یاد', 'آتا', 'ہے']"
آفریدی کے بنے کھیل کے میدان ویران ہیں کنگ آف پاکستان,positive,"['آفریدی', 'کے', 'بنے', 'کھیل', 'کے', 'میدان', 'ویران', 'ہیں', 'کنگ', 'آف', 'پاکستان']"
شان ٹیٹ کو بولنگ کوچ کافی بہتری نظر آرہی تھی فاسٹ بولنگ میں,positive,"['شان', 'ٹیٹ', 'کو', 'بولنگ', 'کوچ', 'کافی', 'بہتری', 'نظر', 'آرہی', 'تھی', 'فاسٹ', 'بولنگ', 'میں']"
یار سلام ہے پی سی بی کو اتنا اچھا اور خوبصورت ٹلنٹ کو پاکستان ٹیم میں چانس نہیں دیا جا رہا تھا محمد حارث اللہ پاک تمہیں کامیاب کرے آمین,positive,"['یار', 'سلام', 'ہے', 'پی', 'سی', 'بی', 'کو', 'اتنا', 'اچھا', 'اور', 'خوبصورت', 'ٹلنٹ', 'کو', 'پاکستان', 'ٹیم', 'میں', 'چانس', 'نہیں', 'دیا', 'جا', 'رہا', 'تھا', 'محمد', 'حارث', 'اللہ', 'پاک', 'تمہیں', 'کامیاب', 'کرے', 'آمین']"
مصطفٰی جان رحمت ص پے لاکھوں سلام ,positive,"['مصطفٰی', 'جان', 'رحمت', 'ص', 'پے', 'لاکھوں', 'سلام']"
کیا ھی عجیب معنی خیز گفتگو کی ھے ماشاءاللہ,positive,"['کیا', 'ھی', 'عجیب', 'معنی', 'خیز', 'گفتگو', 'کی', 'ھے', 'ماشاءاللہ']"
اس انٹرویو میں موجودہ کرکٹ کے حوالے سے اور سامنے کی شخصیت کھلاڑی کیلئے امیر حمزہ نے محض اپنی دانائی سے بہترین اور متعلقہ سوالات کا انتخاب ہی نہیں کیا بلکہ ان سوالات کی ادائیگی میں بھی اعتماد اور فن کمال کو چھوا ہے جو ہمارے لیے باعث فخر ہے ماشاءاللّٰه,positive,"['اس', 'انٹرویو', 'میں', 'موجودہ', 'کرکٹ', 'کے', 'حوالے', 'سے', 'اور', 'سامنے', 'کی', 'شخصیت', 'کھلاڑی', 'کیلئے', 'امیر', 'حمزہ', 'نے', 'محض', 'اپنی', 'دانائی', 'سے', 'بہترین', 'اور', 'متعلقہ', 'سوالات', 'کا', 'انتخاب', 'ہی', 'نہیں', 'کیا', 'بلکہ', 'ان', 'سوالات', 'کی', 'ادائیگی', 'میں', 'بھی', 'اعتماد', 'اور', 'فن', 'کمال', 'کو', 'چھوا', 'ہے', 'جو', 'ہمارے', 'لیے', 'باعث', 'فخر', 'ہے', 'ماشاءاللّٰه']"
یا بندہ کو پورا پورا چانس دینا چاہیے,positive,"['یا', 'بندہ', 'کو', 'پورا', 'پورا', 'چانس', 'دینا', 'چاہیے']"
کمال شخصیت امیر حمزہ,positive,"['کمال', 'شخصیت', 'امیر', 'حمزہ']"
میں سوچ رہا ہوں کہ جلد ہی ان شاء اللہ شاہین احسان حارث عباس شاداب اور عماد پہ مشتمل باولنگ اٹیک کا سوچ کے مخالف ٹیموں پہ کیا گزرے گی,positive,"['میں', 'سوچ', 'رہا', 'ہوں', 'کہ', 'جلد', 'ہی', 'ان', 'شاء', 'اللہ', 'شاہین', 'احسان', 'حارث', 'عباس', 'شاداب', 'اور', 'عماد', 'پہ', 'مشتمل', 'باولنگ', 'اٹیک', 'کا', 'سوچ', 'کے', 'مخالف', 'ٹیموں', 'پہ', 'کیا', 'گزرے', 'گی']"
ماشاءاللہ بہت خوب جناب چاچا افتخار اور ابرار,positive,"['ماشاءاللہ', 'بہت', 'خوب', 'جناب', 'چاچا', 'افتخار', 'اور', 'ابرار']"
ماشااللہ لیاری سنگولائن بلکل میرے گھر کے پاس ھے یہ آپ کا شکریہ,positive,"['ماشااللہ', 'لیاری', 'سنگولائن', 'بلکل', 'میرے', 'گھر', 'کے', 'پاس', 'ھے', 'یہ', 'آپ', 'کا', 'شکریہ']"
لیاری میں ٹیلنٹ کی کوئی کمی نہیں ہے,positive,"['لیاری', 'میں', 'ٹیلنٹ', 'کی', 'کوئی', 'کمی', 'نہیں', 'ہے']"
باز وش میری طرف سے لیاری بلوچوں کو سلام,positive,"['باز', 'وش', 'میری', 'طرف', 'سے', 'لیاری', 'بلوچوں', 'کو', 'سلام']"
لیاری فُٹبال کا گھر ہے,positive,"['لیاری', 'فُٹبال', 'کا', 'گھر', 'ہے']"
احمدشہزادکےاندراکڑبہت زیادہ ھے,positive,"['احمدشہزادکےاندراکڑبہت', 'زیادہ', 'ھے']"
اس بندے نے نیشنل ٹی ٹونٹی کے دوران ہونے والی انٹرنیشنل لیگ میں ال موسٹ سوا کروڑ روپے کو ٹکرایاکہ میری نظر میں ملک کی نمائندگی اور اپنی ٹیم لاہور وائٹس کے لیے کھیلنا اہم ہے,positive,"['اس', 'بندے', 'نے', 'نیشنل', 'ٹی', 'ٹونٹی', 'کے', 'دوران', 'ہونے', 'والی', 'انٹرنیشنل', 'لیگ', 'میں', 'ال', 'موسٹ', 'سوا', 'کروڑ', 'روپے', 'کو', 'ٹکرایاکہ', 'میری', 'نظر', 'میں', 'ملک', 'کی', 'نمائندگی', 'اور', 'اپنی', 'ٹیم', 'لاہور', 'وائٹس', 'کے', 'لیے', 'کھیلنا', 'اہم', 'ہے']"
ماشاءاللہ نادر بھائی آپ نے داری رکھ رہے ہو اور آپ کے اوپر نبی کریم کی سنت اچھی لگ رہی ہے,positive,"['ماشاءاللہ', 'نادر', 'بھائی', 'آپ', 'نے', 'داری', 'رکھ', 'رہے', 'ہو', 'اور', 'آپ', 'کے', 'اوپر', 'نبی', 'کریم', 'کی', 'سنت', 'اچھی', 'لگ', 'رہی', 'ہے']"
ہمارا کپتان صرف بابر ہے ہم میچ بابر کی وجہ سے دیکھتے ہیں,positive,"['ہمارا', 'کپتان', 'صرف', 'بابر', 'ہے', 'ہم', 'میچ', 'بابر', 'کی', 'وجہ', 'سے', 'دیکھتے', 'ہیں']"
بابر دنیاے کرکٹ کے سب سے اچھے کپتان مے سے ایک ے,positive,"['بابر', 'دنیاے', 'کرکٹ', 'کے', 'سب', 'سے', 'اچھے', 'کپتان', 'مے', 'سے', 'ایک', 'ے']"
پلیئر اچھا ہے یا نہیں البتہ ماشاءاللہ سے خوبصورت بہت ہے,positive,"['پلیئر', 'اچھا', 'ہے', 'یا', 'نہیں', 'البتہ', 'ماشاءاللہ', 'سے', 'خوبصورت', 'بہت', 'ہے']"
بہت اچھی بیٹنگ کرتا ہے,positive,"['بہت', 'اچھی', 'بیٹنگ', 'کرتا', 'ہے']"
یار بڑی بڑی پوڈکاسٹس دیکھی ہیں مگر اس کا جواب نہیں جو انسان اپنی اصل سے جڑا رہے اور اسے نہ بھولے وہی نسلی ہے اور یہ چیز سرفراز سر میں موجود ہے اللہ پاک سرفراز احمد سر اور انکے خاندان کو دنیا اور آخرت کی خیر و برکات عطا فرمائے اللھم آمین,positive,"['یار', 'بڑی', 'بڑی', 'پوڈکاسٹس', 'دیکھی', 'ہیں', 'مگر', 'اس', 'کا', 'جواب', 'نہیں', 'جو', 'انسان', 'اپنی', 'اصل', 'سے', 'جڑا', 'رہے', 'اور', 'اسے', 'نہ', 'بھولے', 'وہی', 'نسلی', 'ہے', 'اور', 'یہ', 'چیز', 'سرفراز', 'سر', 'میں', 'موجود', 'ہے', 'اللہ', 'پاک', 'سرفراز', 'احمد', 'سر', 'اور', 'انکے', 'خاندان', 'کو', 'دنیا', 'اور', 'آخرت', 'کی', 'خیر', 'و', 'برکات', 'عطا', 'فرمائے', 'اللھم', 'آمین']"
گریٹ بیٹنگ سیفی بھائی,positive,"['گریٹ', 'بیٹنگ', 'سیفی', 'بھائی']"
سرفراز کو یہ بندر بندر کھیلنا زیب نہیں دیتا عمران خان جیسا شاید ایک ہی ہے اور وہ عمران خان ہے,positive,"['سرفراز', 'کو', 'یہ', 'بندر', 'بندر', 'کھیلنا', 'زیب', 'نہیں', 'دیتا', 'عمران', 'خان', 'جیسا', 'شاید', 'ایک', 'ہی', 'ہے', 'اور', 'وہ', 'عمران', 'خان', 'ہے']"
دو پیارے گیسٹ شان مسعود اور رضوان,positive,"['دو', 'پیارے', 'گیسٹ', 'شان', 'مسعود', 'اور', 'رضوان']"
کوئ بات نہیں یہ گیارہ کھلاڑیوں کا کھیل ہے زلمی ایک کمزور ٹیم تھی بابر اعظم کی وجہ سے یہاں تک پہنچ گئ شروع دن سے بولنگ بہت کمزور تھی بہت ہی زیادہ کمزور پھر نوین بھی واپس چلا گیا اب وہ کنڈیشن کو سمجھ گیا تھا بس اچھا میچ ہوا ہار جیت تو کھیل کا حصہ ہے,positive,"['کوئ', 'بات', 'نہیں', 'یہ', 'گیارہ', 'کھلاڑیوں', 'کا', 'کھیل', 'ہے', 'زلمی', 'ایک', 'کمزور', 'ٹیم', 'تھی', 'بابر', 'اعظم', 'کی', 'وجہ', 'سے', 'یہاں', 'تک', 'پہنچ', 'گئ', 'شروع', 'دن', 'سے', 'بولنگ', 'بہت', 'کمزور', 'تھی', 'بہت', 'ہی', 'زیادہ', 'کمزور', 'پھر', 'نوین', 'بھی', 'واپس', 'چلا', 'گیا', 'اب', 'وہ', 'کنڈیشن', 'کو', 'سمجھ', 'گیا', 'تھا', 'بس', 'اچھا', 'میچ', 'ہوا', 'ہار', 'جیت', 'تو', 'کھیل', 'کا', 'حصہ', 'ہے']"
جو خوشی لاہوریوں کو ڈنک نے دی ہے وہ پانچ سالوں میں انکو نواز شریف نے بھی نہیں دی,positive,"['جو', 'خوشی', 'لاہوریوں', 'کو', 'ڈنک', 'نے', 'دی', 'ہے', 'وہ', 'پانچ', 'سالوں', 'میں', 'انکو', 'نواز', 'شریف', 'نے', 'بھی', 'نہیں', 'دی']"
